EXPORTED CROSS SECTION DATA
69 48 48
x coordinate
Abs Net Doping
Composition X
Composition Y
Donor Conc
Acceptor Conc
Potential
e- Mobility
h+ Mobility
Electric Field
Electron Conc
Hole Conc
Cond. Current Density
Disp. Current Density
Electron QFL
Hole QFL
Valence Band Energy
Conduction Band Energy
Net Doping
Recombination Rate
E Field X
E Field Y
Lattice Temperature
e- Mobility X
e- Mobility Y
h+ Mobility X
h+ Mobility Y
Total Doping
h+ Current Density
e- Current Density
Current Flowlines
Total Current Density
Je- X
Jh+ X
Jtot X
Je- Y
Jh+ Y
Jtot Y
e- Mobility Z
h+ Mobility Z
e- SRH Tno
h+ SRH Tno
Cond Current X
Cond Current Y
Jtot Z
Je- Z
Jh+ Z
E Field Z
1.1680000000e-02 1.7000000000e+01 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.7000000000e+01 6.1756864638e-01 2.7990876129e+01 1.9522683815e+01 6.3856880856e+05 2.0294415469e+01 5.4814546301e-02 4.6188238159e+07 0.0000000000e+00 -1.4332425067e-02 -1.6011449418e-02 -1.1447667321e+00 -6.4766728978e-02 1.7000000000e+01 1.5318979650e+09 1.3692038731e+05 -3.8152754939e+05 3.0000000000e+02 1.2105402400e+02 4.8105004053e+01 4.1961941474e+01 3.0664843436e+01 1.7000000000e+01 1.3572719985e-14 4.6188238159e+07 1.9324789551e-01 4.6188238159e+07 -3.2142950712e+07 -6.0654664128e-15 -3.2142950712e+07 3.1369969342e+07 1.1945338967e-14 3.1369969342e+07 4.4701379418e+01 2.3636558153e+01 1.0000000000e-07 1.0000000000e-07 -3.2142950712e+07 3.1369969342e+07 1.1090590511e+05 1.1090590511e+05 1.6590208380e-18 -2.4105566491e+05 
1.2000000000e-02 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 2.0000000000e+01 0.0000000000e+00 6.6578520573e-01 1.4613519748e+01 9.0748754834e+00 1.0496567579e+06 2.1278354089e+01 -8.9040798615e-01 9.4672277276e+07 0.0000000000e+00 -3.9785226016e-03 -7.9621816644e-03 -1.1929832890e+00 -1.1298328835e-01 2.0000000000e+01 1.9291516358e+09 0.0000000000e+00 0.0000000000e+00 3.0000000000e+02 3.5030060281e+01 2.9291419353e+01 1.8759121054e+01 1.6648476507e+01 2.0000000000e+01 1.1580296391e-14 9.4672277276e+07 2.6303109356e-01 9.4672277276e+07 -2.0945439670e+07 -2.9514348200e-15 -2.0945439670e+07 8.6927953308e+07 1.0596903718e-14 8.6927953308e+07 2.2943503649e+01 1.2916181800e+01 1.0000000000e-07 1.0000000000e-07 -2.0945439670e+07 8.6927953308e+07 1.6371367456e+04 1.6371367456e+04 6.0367898280e-19 1.0496562404e+06 
1.2180000000e-02 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 2.0000000000e+01 0.0000000000e+00 6.6592705984e-01 1.5452956867e+01 9.9798321967e+00 1.1863089406e+06 2.1298587331e+01 -8.9394804888e-01 8.5504724908e+07 0.0000000000e+00 -2.9159618138e-03 -7.8933080906e-03 -1.1931251423e+00 -1.1312514245e-01 2.0000000000e+01 2.8575942824e+09 1.1354701856e+05 -1.7560563994e+05 3.0000000000e+02 3.5118370836e+01 2.9569678330e+01 1.9104176229e+01 1.6978999226e+01 2.0000000000e+01 1.2071227881e-14 8.5504724908e+07 2.7454034079e-01 8.5504724908e+07 -1.5134258130e+07 -3.2701766551e-15 -1.5134258130e+07 8.0151161429e+07 1.0969665176e-14 8.0151161429e+07 3.0021257116e+01 2.0907130548e+01 1.0000000000e-07 1.0000000000e-07 -1.5134258130e+07 8.0151161429e+07 1.3470768495e+04 1.3470768495e+04 4.5143602572e-19 9.6716776233e+05 
1.2500000000e-02 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 2.0000000000e+01 0.0000000000e+00 6.6602084895e-01 1.8802166113e+01 1.3029360415e+01 9.0850201600e+05 2.1308269932e+01 -8.9597604307e-01 6.3494125099e+07 0.0000000000e+00 -2.4333791956e-03 -7.8663777386e-03 -1.1932189306e+00 -1.1321893155e-01 2.0000000000e+01 3.1692778226e+09 1.2817742482e+05 -8.6195591495e+05 3.0000000000e+02 4.1368800445e+01 2.9823680495e+01 2.4627594794e+01 1.7711176849e+01 2.0000000000e+01 1.2659205634e-14 6.3494125099e+07 3.0658887115e-01 6.3494125099e+07 -1.4965611422e+07 -3.3561752926e-15 -1.4965611422e+07 5.8126856971e+07 1.1540130368e-14 5.8126856971e+07 5.5921720235e+01 3.6653243286e+01 1.0000000000e-07 1.0000000000e-07 -1.4965611422e+07 5.8126856971e+07 5.1428912064e+02 5.1428912064e+02 1.8049703613e-19 4.7128652234e+03 
1.2680000000e-02 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 2.0000000000e+01 0.0000000000e+00 6.6565708719e-01 1.8792875020e+01 1.3021603732e+01 9.1046092009e+05 2.1312009484e+01 -8.9087498350e-01 5.6343171753e+07 0.0000000000e+00 -1.8470148126e-03 -7.8062644312e-03 -1.1928551704e+00 -1.1285516980e-01 2.0000000000e+01 3.6480966203e+09 1.2914699382e+05 -8.6341311280e+05 3.0000000000e+02 4.1339294078e+01 2.9797543831e+01 2.4603619725e+01 1.7686242260e+01 2.0000000000e+01 1.2841700222e-14 5.6343171753e+07 3.1373037116e-01 5.6343171753e+07 -1.0460270265e+07 -3.4579547734e-15 -1.0460270265e+07 5.2778968407e+07 1.1694003396e-14 5.2778968407e+07 5.5787330037e+01 3.5823379389e+01 1.0000000000e-07 1.0000000000e-07 -1.0460270265e+07 5.2778968407e+07 3.5563921432e+02 3.5563921432e+02 1.6217626542e-19 -5.3994495762e+03 
1.3000000000e-02 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 2.0000000000e+01 0.0000000000e+00 6.6549729610e-01 1.8775519180e+01 1.2995689469e+01 9.1670738808e+05 2.1314044416e+01 -8.8859616838e-01 4.1157781534e+07 0.0000000000e+00 -1.5660913100e-03 -7.7821232979e-03 -1.1926953791e+00 -1.1269537872e-01 2.0000000000e+01 3.8286945732e+09 1.2932249592e+05 -8.6962913149e+05 3.0000000000e+02 4.1270131790e+01 2.9780187991e+01 2.4529404545e+01 1.7660327997e+01 2.0000000000e+01 1.2854139973e-14 4.1157781534e+07 3.3137805549e-01 4.1157781534e+07 -1.0077858676e+07 -3.5108060540e-15 -1.0077858676e+07 3.7627443480e+07 1.1695098815e-14 3.7627443480e+07 5.5667110789e+01 3.5438555618e+01 1.0000000000e-07 1.0000000000e-07 -1.0077858676e+07 3.7627443480e+07 3.1018067183e+02 3.1018067183e+02 1.5412700224e-19 -1.0471057181e+04 
1.3180000000e-02 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 2.0000000000e+01 0.0000000000e+00 6.6518864631e-01 1.8736017885e+01 1.2964211085e+01 9.1870395551e+05 2.1314814449e+01 -8.8423557812e-01 3.6440817786e+07 0.0000000000e+00 -1.2116041066e-03 -7.7330443679e-03 -1.1923867295e+00 -1.1238672893e-01 2.0000000000e+01 4.0980391605e+09 1.3040184999e+05 -8.7123728972e+05 3.0000000000e+02 4.1234023332e+01 2.9694128717e+01 2.4496710213e+01 1.7590291831e+01 2.0000000000e+01 1.2924821798e-14 3.6440817786e+07 3.3581127433e-01 3.6440817786e+07 -7.1306955240e+06 -3.5457959167e-15 -7.1306955240e+06 3.4067737831e+07 1.1759287479e-14 3.4067737831e+07 5.5706715930e+01 3.5612677550e+01 1.0000000000e-07 1.0000000000e-07 -7.1306955240e+06 3.4067737831e+07 2.2116178103e+02 2.2116178103e+02 1.3889060904e-19 -9.3688175292e+03 
1.3500000000e-02 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 2.0000000000e+01 0.0000000000e+00 6.6503822683e-01 1.8663380156e+01 1.2909348490e+01 9.2426929108e+05 2.1315266361e+01 -8.8204701783e-01 2.7137030318e+07 0.0000000000e+00 -1.0342838676e-03 -7.7129023170e-03 -1.1922363104e+00 -1.1223630945e-01 2.0000000000e+01 4.2069732966e+09 1.3083439747e+05 -8.7679966980e+05 3.0000000000e+02 4.1154700105e+01 2.9621490989e+01 2.4412019778e+01 1.7535429237e+01 2.0000000000e+01 1.2898793764e-14 2.7137030318e+07 3.4621018903e-01 2.7137030318e+07 -6.7936188655e+06 -3.5678428545e-15 -6.7936188655e+06 2.4803051861e+07 1.1728235610e-14 2.4803051861e+07 5.5657729836e+01 3.5595728615e+01 1.0000000000e-07 1.0000000000e-07 -6.7936188655e+06 2.4803051861e+07 1.9283739318e+02 1.9283739318e+02 1.3154874370e-19 -9.1813748936e+03 
1.3680000000e-02 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 2.0000000000e+01 0.0000000000e+00 6.6482713448e-01 1.8623978441e+01 1.2880827014e+01 9.2579231452e+05 2.1315459595e+01 -8.7916840529e-01 2.4057267688e+07 0.0000000000e+00 -8.1168895129e-04 -7.6731638168e-03 -1.1920252179e+00 -1.1202521710e-01 2.0000000000e+01 4.3673399653e+09 1.3167020959e+05 -8.7804799907e+05 3.0000000000e+02 4.1125663372e+01 2.9536916420e+01 2.4384924652e+01 1.7471597158e+01 2.0000000000e+01 1.2931295959e-14 2.4057267688e+07 3.4898034673e-01 2.4057267688e+07 -4.8853715688e+06 -3.5792854908e-15 -4.8853715688e+06 2.2460346625e+07 1.1761215607e-14 2.2460346625e+07 5.5717710743e+01 3.5948316028e+01 1.0000000000e-07 1.0000000000e-07 -4.8853715688e+06 2.2460346625e+07 1.4069046305e+02 1.4069046305e+02 1.1806232091e-19 -7.2302399537e+03 
1.4000000000e-02 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 2.0000000000e+01 0.0000000000e+00 6.6471881289e-01 1.8551566023e+01 1.2833240833e+01 9.2969761361e+05 2.1315568907e+01 -8.7762425353e-01 1.8282370817e+07 0.0000000000e+00 -6.9686039882e-04 -7.6567602246e-03 -1.1919168969e+00 -1.1191689550e-01 2.0000000000e+01 4.4356248946e+09 1.3207015141e+05 -8.8196360459e+05 3.0000000000e+02 4.1063247419e+01 2.9464504002e+01 2.4318746406e+01 1.7424010977e+01 2.0000000000e+01 1.2902772325e-14 1.8282370817e+07 3.5533273614e-01 1.8282370817e+07 -4.6325422711e+06 -3.5899386803e-15 -4.6325422711e+06 1.6717889167e+07 1.1730461628e-14 1.6717889167e+07 5.5713141015e+01 3.6108657144e+01 1.0000000000e-07 1.0000000000e-07 -4.6325422711e+06 1.6717889167e+07 1.2276041602e+02 1.2276041602e+02 1.1108735317e-19 -6.3882933511e+03 
1.4180000000e-02 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 2.0000000000e+01 0.0000000000e+00 6.6457995107e-01 1.8519704402e+01 1.2810474954e+01 9.3078607912e+05 2.1315635479e+01 -8.7582911794e-01 1.6253421252e+07 0.0000000000e+00 -5.5403573353e-04 -7.6247565840e-03 -1.1917780338e+00 -1.1177803369e-01 2.0000000000e+01 4.5331343083e+09 1.3266056241e+05 -8.8285242153e+05 3.0000000000e+02 4.1042231850e+01 2.9396512727e+01 2.4298605950e+01 1.7374046964e+01 2.0000000000e+01 1.2919639850e-14 1.6253421252e+07 3.5706856823e-01 1.6253421252e+07 -3.3866115039e+06 -3.5926874490e-15 -3.3866115039e+06 1.5162874130e+07 1.1749808011e-14 1.5162874130e+07 5.5744915574e+01 3.6386137700e+01 1.0000000000e-07 1.0000000000e-07 -3.3866115039e+06 1.5162874130e+07 9.0955039648e+01 9.0955039648e+01 9.8740659885e-20 -4.9436729398e+03 
1.4500000000e-02 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 2.0000000000e+01 0.0000000000e+00 6.6450652801e-01 1.8461157006e+01 1.2772590148e+01 9.3340549055e+05 2.1315666709e+01 -8.7481787065e-01 1.2584781583e+07 0.0000000000e+00 -4.7875365279e-04 -7.6115295890e-03 -1.1917046107e+00 -1.1170461063e-01 2.0000000000e+01 4.5765504952e+09 1.3296506700e+05 -8.8547612335e+05 3.0000000000e+02 4.0997574278e+01 2.9337965332e+01 2.4251046202e+01 1.7336162158e+01 2.0000000000e+01 1.2894044199e-14 1.2584781583e+07 3.6101843445e-01 1.2584781583e+07 -3.2069868736e+06 -3.5985671431e-15 -3.2069868736e+06 1.1518388452e+07 1.1723168494e-14 1.1518388452e+07 5.5741492709e+01 3.6540524836e+01 1.0000000000e-07 1.0000000000e-07 -3.2069868736e+06 1.1518388452e+07 7.9380066361e+01 7.9380066361e+01 9.2088867274e-20 -4.2456976755e+03 
1.4680000000e-02 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 2.0000000000e+01 0.0000000000e+00 6.6441593424e-01 1.8437522035e+01 1.2755723413e+01 9.3415637411e+05 2.1315697945e+01 -8.7372072739e-01 1.1244295014e+07 0.0000000000e+00 -3.8630056251e-04 -7.5862449607e-03 -1.1916140174e+00 -1.1161401683e-01 2.0000000000e+01 4.6358830835e+09 1.3336733498e+05 -8.8608784664e+05 3.0000000000e+02 4.0983048945e+01 2.9287599565e+01 2.4236913740e+01 1.7299679499e+01 2.0000000000e+01 1.2903419650e-14 1.1244295014e+07 3.6209864955e-01 1.1244295014e+07 -2.3913309864e+06 -3.5978559140e-15 -2.3913309864e+06 1.0483844895e+07 1.1735441864e-14 1.0483844895e+07 5.5756774676e+01 3.6734930672e+01 1.0000000000e-07 1.0000000000e-07 -2.3913309864e+06 1.0483844895e+07 5.9256370814e+01 5.9256370814e+01 8.0525101875e-20 -3.2803360712e+03 
1.5000000000e-02 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 2.0000000000e+01 0.0000000000e+00 6.6436715909e-01 1.8394096574e+01 1.2727630985e+01 9.3588873161e+05 2.1315709286e+01 -8.7307692722e-01 8.8835377063e+06 0.0000000000e+00 -3.3685030708e-04 -7.5757930147e-03 -1.1915652412e+00 -1.1156524169e-01 2.0000000000e+01 4.6634048843e+09 1.3358269733e+05 -8.8782066807e+05 3.0000000000e+02 4.0952383332e+01 2.9244174103e+01 2.4204164474e+01 1.7271587070e+01 2.0000000000e+01 1.2882169244e-14 8.8835377063e+06 3.6456681086e-01 8.8835377063e+06 -2.2675674395e+06 -3.6012714198e-15 -2.2675674395e+06 8.1400861988e+06 1.1713729077e-14 8.1400861988e+06 5.5752656519e+01 3.6855305705e+01 1.0000000000e-07 1.0000000000e-07 -2.2675674395e+06 8.1400861988e+06 5.1627110343e+01 5.1627110343e+01 7.4135821816e-20 -2.7873785585e+03 
1.5180000000e-02 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 2.0000000000e+01 0.0000000000e+00 6.6430882657e-01 1.8377540312e+01 1.2715829450e+01 9.3639058311e+05 2.1315726691e+01 -8.7241929921e-01 8.0089744910e+06 0.0000000000e+00 -2.7748172595e-04 -7.5566068279e-03 -1.1915069090e+00 -1.1150690919e-01 2.0000000000e+01 4.6989868701e+09 1.3384885549e+05 -8.8822953555e+05 3.0000000000e+02 4.0942693479e+01 2.9208868772e+01 2.4194655960e+01 1.7246262346e+01 2.0000000000e+01 1.2887513866e-14 8.0089744910e+06 3.6522109461e-01 8.0089744910e+06 -1.7399534565e+06 -3.5992058190e-15 -1.7399534565e+06 7.4610110868e+06 1.1721830576e-14 7.4610110868e+06 5.5760416690e+01 3.6990290003e+01 1.0000000000e-07 1.0000000000e-07 -1.7399534565e+06 7.4610110868e+06 3.8408437056e+01 3.8408437056e+01 6.3126709736e-20 -2.1421527205e+03 
1.5500000000e-02 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 2.0000000000e+01 0.0000000000e+00 6.6427707100e-01 1.8347126584e+01 1.2696233081e+01 9.3751646022e+05 2.1315731840e+01 -8.7201907892e-01 6.4975731542e+06 0.0000000000e+00 -2.4541964404e-04 -7.5486749927e-03 -1.1914751540e+00 -1.1147515363e-01 2.0000000000e+01 4.7161291173e+09 1.3399421006e+05 -8.8935458560e+05 3.0000000000e+02 4.0922314772e+01 2.9178455044e+01 2.4172862872e+01 1.7226665976e+01 2.0000000000e+01 1.2871036963e-14 6.4975731542e+06 3.6674761090e-01 6.4975731542e+06 -1.6573405334e+06 -3.6010738078e-15 -1.6573405334e+06 5.9610463923e+06 1.1705225869e-14 5.9610463923e+06 5.5757272132e+01 3.7080210372e+01 1.0000000000e-07 1.0000000000e-07 -1.6573405334e+06 5.9610463923e+06 3.3249730669e+01 3.3249730669e+01 5.6944683241e-20 -1.8017602181e+03 
1.5680000000e-02 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 2.0000000000e+01 0.0000000000e+00 6.6424106676e-01 1.8336323526e+01 1.2688546113e+01 9.3783392852e+05 2.1315741913e+01 -8.7164043701e-01 5.9519977267e+06 0.0000000000e+00 -2.0881581385e-04 -7.5352100234e-03 -1.1914391490e+00 -1.1143914937e-01 2.0000000000e+01 4.7366395579e+09 1.3416130798e+05 -8.8961353696e+05 3.0000000000e+02 4.0916203545e+01 2.9155388131e+01 2.4166835300e+01 1.7210233382e+01 2.0000000000e+01 1.2874224327e-14 5.9519977267e+06 3.6711451723e-01 5.9519977267e+06 -1.3305586989e+06 -3.5985691945e-15 -1.3305586989e+06 5.5353492893e+06 1.1710859724e-14 5.5353492893e+06 5.5761705758e+01 3.7176849055e+01 1.0000000000e-07 1.0000000000e-07 -1.3305586989e+06 5.5353492893e+06 2.4157666001e+01 2.4157666001e+01 4.6317873919e-20 -1.3551956546e+03 
1.6000000000e-02 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 2.0000000000e+01 0.0000000000e+00 6.6422133450e-01 1.8316486051e+01 1.2675945399e+01 9.3853315162e+05 2.1315744537e+01 -8.7140250735e-01 5.0213619025e+06 0.0000000000e+00 -1.8892731126e-04 -7.5296408721e-03 -1.1914194163e+00 -1.1141941711e-01 2.0000000000e+01 4.7468572370e+09 1.3425354688e+05 -8.9031180852e+05 3.0000000000e+02 4.0903380170e+01 2.9135550656e+01 2.4153111046e+01 1.7197632668e+01 2.0000000000e+01 1.2862917109e-14 5.0213619025e+06 3.6802124228e-01 5.0213619025e+06 -1.2784101314e+06 -3.5992504212e-15 -1.2784101314e+06 4.6119429663e+06 1.1699676330e-14 4.6119429663e+06 5.5760306472e+01 3.7245083814e+01 1.0000000000e-07 1.0000000000e-07 -1.2784101314e+06 4.6119429663e+06 2.0537014241e+01 2.0537014241e+01 4.0289719196e-20 -1.1147302819e+03 
1.6180000000e-02 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 2.0000000000e+01 0.0000000000e+00 6.6420178042e-01 1.8310414411e+01 1.2671634150e+01 9.3870817401e+05 2.1315749841e+01 -8.7120757992e-01 4.7229079308e+06 0.0000000000e+00 -1.6905755514e-04 -7.5216900974e-03 -1.1913998615e+00 -1.1139986304e-01 2.0000000000e+01 4.7574251533e+09 1.3434521159e+05 -8.9045477244e+05 3.0000000000e+02 4.0900019972e+01 2.9122571108e+01 2.4149787232e+01 1.7188429161e+01 2.0000000000e+01 1.2865195403e-14 4.7229079308e+06 3.6818196164e-01 4.7229079308e+06 -1.1005658890e+06 -3.5963966395e-15 -1.1005658890e+06 4.3782702745e+06 1.1704300575e-14 4.3782702745e+06 5.5763300774e+01 3.7318783750e+01 1.0000000000e-07 1.0000000000e-07 -1.1005658890e+06 4.3782702745e+06 1.3856276033e+01 1.3856276033e+01 2.9877062807e-20 -7.8572660467e+02 
1.6500000000e-02 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 2.0000000000e+01 0.0000000000e+00 6.6419102276e-01 1.8299276795e+01 1.2664869387e+01 9.3908935899e+05 2.1315751126e+01 -8.7108222641e-01 4.2179730823e+06 0.0000000000e+00 -1.5822340273e-04 -7.5183943112e-03 -1.1913891045e+00 -1.1138910538e-01 2.0000000000e+01 4.7628183188e+09 1.3439609000e+05 -8.9083530707e+05 3.0000000000e+02 4.0892978181e+01 2.9111433493e+01 2.4142247443e+01 1.7181664398e+01 2.0000000000e+01 1.2859615711e-14 4.2179730823e+06 3.6865758700e-01 4.2179730823e+06 -1.0718788185e+06 -3.5957977503e-15 -1.0718788185e+06 3.8773085364e+06 1.1699158410e-14 3.8773085364e+06 5.5763935346e+01 3.7373701320e+01 1.0000000000e-07 1.0000000000e-07 -1.0718788185e+06 3.8773085364e+06 1.1159449896e+01 1.1159449896e+01 2.3938596354e-20 -6.0623329787e+02 
1.6680000000e-02 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 2.0000000000e+01 0.0000000000e+00 6.6418482608e-01 1.8297322076e+01 1.2663489160e+01 9.3914514836e+05 2.1315752784e+01 -8.7102204567e-01 4.1230754707e+06 0.0000000000e+00 -1.5192802548e-04 -7.5157800094e-03 -1.1913829097e+00 -1.1138290869e-01 2.0000000000e+01 4.7660827725e+09 1.3442527401e+05 -8.9088097693e+05 3.0000000000e+02 4.0891907758e+01 2.9107251009e+01 2.4141188672e+01 1.7178711557e+01 2.0000000000e+01 1.2861629593e-14 4.1230754707e+06 3.6602237319e-01 4.1230754707e+06 -1.0154690597e+06 -3.5940624300e-15 -1.0154690597e+06 3.8028834325e+06 1.1702581375e-14 3.8028834325e+06 5.5766451474e+01 3.7435954926e+01 1.0000000000e-07 1.0000000000e-07 -1.0154690597e+06 3.8028834325e+06 5.7417774368e+00 5.7417774368e+00 1.3760468686e-20 -3.3908606561e+02 
1.7000000000e-02 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 2.0000000000e+01 0.0000000000e+00 6.6418141110e-01 1.8293757938e+01 1.2661904140e+01 9.3926611857e+05 2.1315753172e+01 -8.7098296112e-01 3.9631652432e+06 0.0000000000e+00 -1.4848994925e-04 -7.5146916088e-03 -1.1913794941e+00 -1.1137949371e-01 2.0000000000e+01 4.7677658042e+09 1.3444150977e+05 -8.9100176883e+05 3.0000000000e+02 4.0889665695e+01 2.9103686870e+01 2.4138790065e+01 1.7177126536e+01 2.0000000000e+01 1.2861835669e-14 3.9631652432e+06 3.6076862415e-01 3.9631652432e+06 -1.0063259118e+06 -3.5930781652e-15 -1.0063259118e+06 3.6442397388e+06 1.1703260854e-14 3.6442397388e+06 5.5769463385e+01 3.7484973668e+01 1.0000000000e-07 1.0000000000e-07 -1.0063259118e+06 3.6442397388e+06 3.5372010360e+00 3.5372010360e+00 7.9145288339e-21 -1.9223325957e+02 
